index	promptID	pairID	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	label1	label2	label3	label4	label5	gold_label
0	a	b	d	e	f	g	h	A man is talking to someone in a car.	A man is talking to someone in a taxi.	a	b	c	d	e	neutral
1	a	b	d	e	f	g	h	A man is talking to someone in a taxi.	A man is talking to someone in a car.	a	b	c	d	e	entailment
2	a	b	d	e	f	g	h	A man is talking to someone in a car.	A man is talking to someone in a convertible.	a	b	c	d	e	neutral
3	a	b	d	e	f	g	h	A man is talking to someone in a convertible.	A man is talking to someone in a car.	a	b	c	d	e	entailment
4	a	b	d	e	f	g	h	A man is talking to someone in a car.	A man is talking to someone in a jeep.	a	b	c	d	e	neutral
5	a	b	d	e	f	g	h	A man is talking to someone in a jeep.	A man is talking to someone in a car.	a	b	c	d	e	entailment
6	a	b	d	e	f	g	h	A man is talking to someone in a car.	A man is talking to someone in a SUV.	a	b	c	d	e	neutral
7	a	b	d	e	f	g	h	A man is talking to someone in a SUV.	A man is talking to someone in a car.	a	b	c	d	e	entailment
8	a	b	d	e	f	g	h	they are playing guitar on live concert.	they are playing instrument on live concert.	a	b	c	d	e	entailment
9	a	b	d	e	f	g	h	they are playing instrument on live concert.	they are playing guitar on live concert.	a	b	c	d	e	neutral
10	a	b	d	e	f	g	h	Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.	Outside by the elms, a woman wearing jeans and red jacket throws something for a German shepherd to chase.	a	b	c	d	e	neutral
11	a	b	d	e	f	g	h	Outside by the elms, a woman wearing jeans and red jacket throws something for a German shepherd to chase.	Outside by the trees, a woman wearing jeans and red jacket throws something for a German shepherd to chase.	a	b	c	d	e	entailment
12	a	b	d	e	f	g	h	A couple of hikers cross a bridge.	A couple of hikers cross a structure.	a	b	c	d	e	entailment
13	a	b	d	e	f	g	h	A couple of hikers cross a structure.	A couple of hikers cross a bridge.	a	b	c	d	e	neutral
14	a	b	d	e	f	g	h	A couple of hikers cross a bridge.	A couple of hikers cross a footbridge.	a	b	c	d	e	neutral
15	a	b	d	e	f	g	h	A couple of hikers cross a footbridge.	A couple of hikers cross a bridge.	a	b	c	d	e	entailment
16	a	b	d	e	f	g	h	Small child with black hair standing in car track near sunflowers.	Small child with black hair standing in car track near flowers.	a	b	c	d	e	entailment
17	a	b	d	e	f	g	h	Small child with black hair standing in car track near flowers.	Small child with black hair standing in car track near sunflowers.	a	b	c	d	e	neutral
18	a	b	d	e	f	g	h	Small child with black hair standing in car track near sunflowers.	Small child with black hair standing in car track near plants.	a	b	c	d	e	entailment
19	a	b	d	e	f	g	h	Small child with black hair standing in car track near plants.	Small child with black hair standing in car track near sunflowers.	a	b	c	d	e	neutral
20	a	b	d	e	f	g	h	Two dogs play with a green ball on a wooden deck.	Two dogs play with a green baseball on a wooden deck.	a	b	c	d	e	neutral
21	a	b	d	e	f	g	h	Two dogs play with a green baseball on a wooden deck.	Two dogs play with a green ball on a wooden deck.	a	b	c	d	e	entailment
