index	promptID	pairID	genre	sentence1_binary_parse	sentence2_binary_parse	sentence1_parse	sentence2_parse	sentence1	sentence2	label1	label2	label3	label4	label5	gold_label
0	a	b	c	d	e	f	g	h	Several women stand on a platform near the yellow line.	Several women stand on a platform near the red line.	a	b	c	d	e	contradiction
1	a	b	c	d	e	f	g	h	Several women stand on a platform near the yellow line.	Several women stand on a platform near the green line.	a	b	c	d	e	contradiction
2	a	b	c	d	e	f	g	h	Several women stand on a platform near the yellow line.	Several women stand on a platform near the black line.	a	b	c	d	e	contradiction
3	a	b	c	d	e	f	g	h	Several women stand on a platform near the yellow line.	Several women stand on a platform far away from the yellow line.	a	b	c	d	e	contradiction
4	a	b	c	d	e	f	g	h	Several women stand on a platform near the yellow line.	Several women stand on a platform far from the yellow line.	a	b	c	d	e	contradiction
5	a	b	c	d	e	f	g	h	The man is holding a saxophone.	The man is holding a french horn.	a	b	c	d	e	contradiction
6	a	b	c	d	e	f	g	h	The man is holding a saxophone.	The man is holding an instrument.	a	b	c	d	e	entailment
7	a	b	c	d	e	f	g	h	The man is holding a saxophone.	The man is holding an electric guitar.	a	b	c	d	e	contradiction
8	a	b	c	d	e	f	g	h	The man is holding a saxophone.	The man is holding an acoustic guitar.	a	b	c	d	e	contradiction
9	a	b	c	d	e	f	g	h	The man is holding a saxophone.	The man is holding a piano.	a	b	c	d	e	contradiction
10	a	b	c	d	e	f	g	h	Yellow banners with a black lion print are hung across some trees in a sun-lit neighborhood.	Yellow banners with a white lion print are hung across some trees in a sun-lit neighborhood.	a	b	c	d	e	contradiction
11	a	b	c	d	e	f	g	h	Yellow banners with a black lion print are hung across some trees in a sun-lit neighborhood.	Yellow banners with a yellow lion print are hung across some trees in a sun-lit neighborhood.	a	b	c	d	e	contradiction
12	a	b	c	d	e	f	g	h	Yellow banners with a black lion print are hung across some trees in a sun-lit neighborhood.	Yellow banners with a silver lion print are hung across some trees in a sun-lit neighborhood.	a	b	c	d	e	contradiction
13	a	b	c	d	e	f	g	h	Yellow banners with a black lion print are hung across some trees in a sun-lit neighborhood.	Yellow banners with a purple lion print are hung across some trees in a sun-lit neighborhood.	a	b	c	d	e	contradiction
14	a	b	c	d	e	f	g	h	Yellow banners with a black lion print are hung across some trees in a sun-lit neighborhood.	Yellow banners with a black lion print are hung across some trees in a moon-lit neighborhood.	a	b	c	d	e	contradiction
15	a	b	c	d	e	f	g	h	A woman cooking thanksgiving dinner in the kitchen.	A woman cooking thanksgiving dinner in the courtroom.	a	b	c	d	e	contradiction
16	a	b	c	d	e	f	g	h	A woman cooking thanksgiving dinner in the kitchen.	A woman cooking thanksgiving dinner in the prison cell.	a	b	c	d	e	contradiction
17	a	b	c	d	e	f	g	h	A woman cooking thanksgiving dinner in the kitchen.	A woman cooking thanksgiving dinner in the classroom.	a	b	c	d	e	contradiction
18	a	b	c	d	e	f	g	h	A woman cooking thanksgiving dinner in the kitchen.	A woman cooking thanksgiving dinner in the dining room.	a	b	c	d	e	contradiction
19	a	b	c	d	e	f	g	h	A woman cooking thanksgiving dinner in the kitchen.	A woman cooking thanksgiving dinner in the bedroom.	a	b	c	d	e	contradiction
20	a	b	c	d	e	f	g	h	A person in blue and red ice climbing with two picks.	A person in blue and red ice climbing with 10 picks.	a	b	c	d	e	contradiction
21	a	b	c	d	e	f	g	h	A person in blue and red ice climbing with two picks.	A person in blue and red ice climbing with ten picks.	a	b	c	d	e	contradiction
22	a	b	c	d	e	f	g	h	A person in blue and red ice climbing with two picks.	A person in blue and red ice climbing with five picks.	a	b	c	d	e	contradiction
23	a	b	c	d	e	f	g	h	A person in blue and red ice climbing with two picks.	A person in blue and red ice climbing with 12 picks.	a	b	c	d	e	contradiction
24	a	b	c	d	e	f	g	h	A person in blue and red ice climbing with two picks.	A person in blue and red ice climbing with six picks.	a	b	c	d	e	contradiction
25	a	b	c	d	e	f	g	h	A mural of children on a brick wall.	A mural of children on a plastic wall.	a	b	c	d	e	contradiction
26	a	b	c	d	e	f	g	h	A mural of children on a brick wall.	A mural of children on a bronze wall.	a	b	c	d	e	contradiction
27	a	b	c	d	e	f	g	h	A mural of children on a brick wall.	A mural of children on a wood wall.	a	b	c	d	e	contradiction
28	a	b	c	d	e	f	g	h	A mural of children on a brick wall.	A mural of children on a glass wall.	a	b	c	d	e	contradiction
29	a	b	c	d	e	f	g	h	A mural of children on a brick wall.	A mural of children on a cement wall.	a	b	c	d	e	contradiction
30	a	b	c	d	e	f	g	h	Person drinking beer.	Person drinking champagne.	a	b	c	d	e	contradiction
31	a	b	c	d	e	f	g	h	Person drinking beer.	Person drinking cider.	a	b	c	d	e	contradiction
32	a	b	c	d	e	f	g	h	Person drinking beer.	Person drinking vodka.	a	b	c	d	e	contradiction
33	a	b	c	d	e	f	g	h	Person drinking beer.	Person drinking whisky.	a	b	c	d	e	contradiction
34	a	b	c	d	e	f	g	h	Person drinking beer.	Person drinking gin.	a	b	c	d	e	contradiction
35	a	b	c	d	e	f	g	h	A young woman gazes out the window at the sun while taking a break from sweeping a broken brown pot.	A senior woman gazes out the window at the sun while taking a break from sweeping a broken brown pot.	a	b	c	d	e	contradiction
36	a	b	c	d	e	f	g	h	A young woman gazes out the window at the sun while taking a break from sweeping a broken brown pot.	An elderly woman gazes out the window at the sun while taking a break from sweeping a broken brown pot.	a	b	c	d	e	contradiction
37	a	b	c	d	e	f	g	h	A young woman gazes out the window at the sun while taking a break from sweeping a broken brown pot.	A young woman gazes out the window at the moon while taking a break from sweeping a broken brown pot.	a	b	c	d	e	contradiction
38	a	b	c	d	e	f	g	h	A young woman gazes out the window at the sun while taking a break from sweeping a broken brown pot.	A young woman gazes out the window at the sun while taking a break from sweeping a broken black pot.	a	b	c	d	e	contradiction
39	a	b	c	d	e	f	g	h	A young woman gazes out the window at the sun while taking a break from sweeping a broken brown pot.	An old woman gazes out the window at the sun while taking a break from sweeping a broken brown pot.	a	b	c	d	e	contradiction
40	a	b	c	d	e	f	g	h	2 refs sitting on a bench waiting for the soccer game to start.	12 refs sitting on a bench waiting for the soccer game to start.	a	b	c	d	e	contradiction
41	a	b	c	d	e	f	g	h	2 refs sitting on a bench waiting for the soccer game to start.	2 refs sitting on a bench waiting for the soccer game to end.	a	b	c	d	e	contradiction
42	a	b	c	d	e	f	g	h	2 refs sitting on a bench waiting for the soccer game to start.	2 refs sitting on a bench waiting for the soccer game to finish.	a	b	c	d	e	contradiction
43	a	b	c	d	e	f	g	h	2 refs sitting on a bench waiting for the soccer game to start.	7 refs sitting on a bench waiting for the soccer game to start.	a	b	c	d	e	contradiction
44	a	b	c	d	e	f	g	h	2 refs sitting on a bench waiting for the soccer game to start.	8 refs sitting on a bench waiting for the soccer game to start.	a	b	c	d	e	contradiction
45	a	b	c	d	e	f	g	h	An old women is looking at the sun.	An early women is looking at the sun.	a	b	c	d	e	contradiction
46	a	b	c	d	e	f	g	h	An old women is looking at the sun.	An old women is looking at the moon.	a	b	c	d	e	contradiction
47	a	b	c	d	e	f	g	h	An old women is looking at the sun.	A junior women is looking at the sun.	a	b	c	d	e	contradiction
48	a	b	c	d	e	f	g	h	An old women is looking at the sun.	A teenage women is looking at the sun.	a	b	c	d	e	contradiction
49	a	b	c	d	e	f	g	h	A man playing scrabble with carrots, celery, onions, limes, apples and cauliflower with another person.	A man playing scrabble with carrots, celery, cucumbers, limes, apples and cauliflower with another person.	a	b	c	d	e	contradiction
50	a	b	c	d	e	f	g	h	A man playing scrabble with carrots, celery, onions, limes, apples and cauliflower with another person.	A man playing scrabble with carrots, celery, eggplants, limes, apples and cauliflower with another person.	a	b	c	d	e	contradiction
51	a	b	c	d	e	f	g	h	A man playing scrabble with carrots, celery, onions, limes, apples and cauliflower with another person.	A man playing scrabble with carrots, eggplant, onions, limes, apples and cauliflower with another person.	a	b	c	d	e	contradiction
52	a	b	c	d	e	f	g	h	A man playing scrabble with carrots, celery, onions, limes, apples and cauliflower with another person.	A man playing scrabble with carrots, avocado, onions, limes, apples and cauliflower with another person.	a	b	c	d	e	contradiction
53	a	b	c	d	e	f	g	h	A man playing scrabble with carrots, celery, onions, limes, apples and cauliflower with another person.	A man playing scrabble with carrots, celery, tomatoes, limes, apples and cauliflower with another person.	a	b	c	d	e	contradiction
54	a	b	c	d	e	f	g	h	The old man is at a bar drinking beer.	The old man is at a bar drinking vodka.	a	b	c	d	e	contradiction
55	a	b	c	d	e	f	g	h	The old man is at a bar drinking beer.	The old man is at a bar drinking cider.	a	b	c	d	e	contradiction
56	a	b	c	d	e	f	g	h	The old man is at a bar drinking beer.	The old man is at a bar drinking tequila.	a	b	c	d	e	contradiction
57	a	b	c	d	e	f	g	h	The old man is at a bar drinking beer.	The old man is at a bar drinking gin.	a	b	c	d	e	contradiction
58	a	b	c	d	e	f	g	h	The old man is at a bar drinking beer.	The old man is at a bar drinking whisky.	a	b	c	d	e	contradiction
59	a	b	c	d	e	f	g	h	Some people in a restaurant drinking wine.	Some people in a restaurant drinking vodka.	a	b	c	d	e	contradiction
60	a	b	c	d	e	f	g	h	Some people in a restaurant drinking wine.	Some people in a restaurant drinking tequila.	a	b	c	d	e	contradiction
61	a	b	c	d	e	f	g	h	Some people in a restaurant drinking wine.	Some people in a restaurant drinking whisky.	a	b	c	d	e	contradiction
62	a	b	c	d	e	f	g	h	Some people in a restaurant drinking wine.	Some people in a restaurant drinking cider.	a	b	c	d	e	contradiction
63	a	b	c	d	e	f	g	h	Some people in a restaurant drinking wine.	Some people in a restaurant drinking gin.	a	b	c	d	e	contradiction
64	a	b	c	d	e	f	g	h	The man is wearing a yellow shirt and playing a piano.	The man is wearing a yellow shirt and playing a french horn.	a	b	c	d	e	contradiction
65	a	b	c	d	e	f	g	h	The man is wearing a yellow shirt and playing a piano.	The man is wearing a yellow shirt and playing an electric guitar.	a	b	c	d	e	contradiction
66	a	b	c	d	e	f	g	h	The man is wearing a yellow shirt and playing a piano.	The man is wearing a yellow shirt and playing a flute.	a	b	c	d	e	contradiction
67	a	b	c	d	e	f	g	h	The man is wearing a yellow shirt and playing a piano.	The man is wearing a yellow shirt and playing an acoustic guitar.	a	b	c	d	e	contradiction
68	a	b	c	d	e	f	g	h	The man is wearing a yellow shirt and playing a piano.	The man is wearing a yellow shirt and playing an instrument.	a	b	c	d	e	entailment
69	a	b	c	d	e	f	g	h	There is a man wearing a hat and playing the harmonica.	There is a man wearing a hat and playing the tuba.	a	b	c	d	e	contradiction
70	a	b	c	d	e	f	g	h	There is a man wearing a hat and playing the harmonica.	There is a man wearing a hat and playing the harp.	a	b	c	d	e	contradiction
71	a	b	c	d	e	f	g	h	There is a man wearing a hat and playing the harmonica.	There is a man wearing a hat and playing the banjo.	a	b	c	d	e	contradiction
72	a	b	c	d	e	f	g	h	There is a man wearing a hat and playing the harmonica.	There is a man wearing a hat and playing the oboe.	a	b	c	d	e	contradiction
73	a	b	c	d	e	f	g	h	There is a man wearing a hat and playing the harmonica.	There is a man wearing a hat and playing the clarinet.	a	b	c	d	e	contradiction
74	a	b	c	d	e	f	g	h	A group of young men and women joyously drinking beer	A group of young men and women joyously drinking tequila	a	b	c	d	e	contradiction
75	a	b	c	d	e	f	g	h	A group of young men and women joyously drinking beer	A group of young men and women joyously drinking cider	a	b	c	d	e	contradiction
76	a	b	c	d	e	f	g	h	A group of young men and women joyously drinking beer	A group of young men and women joyously drinking gin	a	b	c	d	e	contradiction
77	a	b	c	d	e	f	g	h	A group of young men and women joyously drinking beer	A group of young men and women joyously drinking champagne	a	b	c	d	e	contradiction
78	a	b	c	d	e	f	g	h	A group of young men and women joyously drinking beer	A group of young men and women joyously drinking whisky	a	b	c	d	e	contradiction
79	a	b	c	d	e	f	g	h	The bubbles carry small animals to the moon.	The bubbles carry little animals to the moon.	a	b	c	d	e	entailment
80	a	b	c	d	e	f	g	h	The bubbles carry small animals to the moon.	The bubbles carry large animals to the moon.	a	b	c	d	e	contradiction
81	a	b	c	d	e	f	g	h	The bubbles carry small animals to the moon.	The bubbles carry big animals to the moon.	a	b	c	d	e	contradiction
82	a	b	c	d	e	f	g	h	The bubbles carry small animals to the moon.	The bubbles carry small animals to the sun.	a	b	c	d	e	contradiction
83	a	b	c	d	e	f	g	h	The old man is protecting his eyes from the sun.	The young man is protecting his eyes from the sun.	a	b	c	d	e	contradiction
84	a	b	c	d	e	f	g	h	A small dog is sleeping on the couch.	A tiny dog is sleeping on the couch.	a	b	c	d	e	entailment
85	a	b	c	d	e	f	g	h	A small dog is sleeping on the couch.	A small dog is sleeping on the sofa.	a	b	c	d	e	entailment
86	a	b	c	d	e	f	g	h	A small dog is sleeping on the couch.	A great dog is sleeping on the couch.	a	b	c	d	e	contradiction
87	a	b	c	d	e	f	g	h	A small dog is sleeping on the couch.	A little dog is sleeping on the couch.	a	b	c	d	e	entailment
88	a	b	c	d	e	f	g	h	The little girl is spending time with her dad.	The little girl is spending time with her father.	a	b	c	d	e	entailment
89	a	b	c	d	e	f	g	h	The little girl is spending time with her dad.	The small girl is spending time with her dad.	a	b	c	d	e	entailment
90	a	b	c	d	e	f	g	h	The little girl is spending time with her dad.	The tiny girl is spending time with her dad.	a	b	c	d	e	entailment
91	a	b	c	d	e	f	g	h	Two men wearing black clothes and hats, one is playing the saxophone and one is playing the trumpet.	Two men wearing black clothes and hats, one is playing the saxophone and one is playing the harmonica.	a	b	c	d	e	contradiction
92	a	b	c	d	e	f	g	h	Two men wearing black clothes and hats, one is playing the saxophone and one is playing the trumpet.	Two men wearing black clothes and hats, one is playing the saxophone and one is playing the clarinet.	a	b	c	d	e	contradiction
93	a	b	c	d	e	f	g	h	Two men wearing black clothes and hats, one is playing the saxophone and one is playing the trumpet.	Two men wearing black clothes and hats, one is playing the saxophone and one is playing the oboe.	a	b	c	d	e	contradiction
94	a	b	c	d	e	f	g	h	Two men wearing black clothes and hats, one is playing the saxophone and one is playing the trumpet.	Two men wearing black clothes and hats, one is playing the saxophone and one is playing the cello.	a	b	c	d	e	contradiction
95	a	b	c	d	e	f	g	h	Two men wearing black clothes and hats, one is playing the saxophone and one is playing the trumpet.	Two men wearing black clothes and hats, one is playing the saxophone and one is playing the tuba.	a	b	c	d	e	contradiction
96	a	b	c	d	e	f	g	h	A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a small body of water.	A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a sizable body of water.	a	b	c	d	e	contradiction
97	a	b	c	d	e	f	g	h	A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a small body of water.	A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a massive body of water.	a	b	c	d	e	contradiction
98	a	b	c	d	e	f	g	h	A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a small body of water.	A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a little body of water.	a	b	c	d	e	entailment
99	a	b	c	d	e	f	g	h	A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a small body of water.	A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a tiny body of water.	a	b	c	d	e	entailment
100	a	b	c	d	e	f	g	h	A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area near a small body of water.	A person in a yellow hat, carrying a bag and a fishing pole, walks in a grassy area close to a small body of water.	a	b	c	d	e	entailment
101	a	b	c	d	e	f	g	h	A man wearing a black shirt with glasses slicing a tomato.	A man wearing a black shirt with glasses slicing a potato.	a	b	c	d	e	contradiction
102	a	b	c	d	e	f	g	h	A man wearing a black shirt with glasses slicing a tomato.	A man wearing a silver shirt with glasses slicing a tomato.	a	b	c	d	e	contradiction
103	a	b	c	d	e	f	g	h	A man wearing a black shirt with glasses slicing a tomato.	A man wearing a white shirt with glasses slicing a tomato.	a	b	c	d	e	contradiction
104	a	b	c	d	e	f	g	h	A man wearing a black shirt with glasses slicing a tomato.	A woman wearing a black shirt with glasses slicing a tomato.	a	b	c	d	e	contradiction
105	a	b	c	d	e	f	g	h	A man wearing a black shirt with glasses slicing a tomato.	A man wearing a pink shirt with glasses slicing a tomato.	a	b	c	d	e	contradiction
106	a	b	c	d	e	f	g	h	Two men drinking sprite.	Two men drinking coke.	a	b	c	d	e	contradiction
107	a	b	c	d	e	f	g	h	Two men drinking sprite.	Two men drinking juice.	a	b	c	d	e	contradiction
108	a	b	c	d	e	f	g	h	Two men drinking sprite.	Two men drinking coffee.	a	b	c	d	e	contradiction
109	a	b	c	d	e	f	g	h	Two men drinking sprite.	Two men drinking tea.	a	b	c	d	e	contradiction
110	a	b	c	d	e	f	g	h	Two men drinking sprite.	Two men drinking hot chocolate.	a	b	c	d	e	contradiction
111	a	b	c	d	e	f	g	h	A man playing scrabble with carrots, celery, onions, limes, apples and cauliflower with another person.	A man playing scrabble with carrots, pumpkin, onions, limes, apples and cauliflower with another person.	a	b	c	d	e	contradiction
112	a	b	c	d	e	f	g	h	A man playing scrabble with carrots, celery, onions, limes, apples and cauliflower with another person.	A man playing scrabble with carrots, tomato, onions, limes, apples and cauliflower with another person.	a	b	c	d	e	contradiction
113	a	b	c	d	e	f	g	h	A man playing scrabble with carrots, celery, onions, limes, apples and cauliflower with another person.	A man playing scrabble with carrots, cucumber, onions, limes, apples and cauliflower with another person.	a	b	c	d	e	contradiction
114	a	b	c	d	e	f	g	h	Two male friends are riding the train together while relaxing and drinking beer.	Two male friends are riding the train together while relaxing and drinking tequila.	a	b	c	d	e	contradiction
115	a	b	c	d	e	f	g	h	Two male friends are riding the train together while relaxing and drinking beer.	Two male friends are riding the train together while relaxing and drinking champagne.	a	b	c	d	e	contradiction
116	a	b	c	d	e	f	g	h	Two male friends are riding the train together while relaxing and drinking beer.	Two male friends are riding the train together while relaxing and drinking gin.	a	b	c	d	e	contradiction
117	a	b	c	d	e	f	g	h	Two male friends are riding the train together while relaxing and drinking beer.	Two male friends are riding the train together while relaxing and drinking whisky.	a	b	c	d	e	contradiction
118	a	b	c	d	e	f	g	h	Two male friends are riding the train together while relaxing and drinking beer.	Two male friends are riding the train together while relaxing and drinking vodka.	a	b	c	d	e	contradiction
119	a	b	c	d	e	f	g	h	Group of three people stand outside a building holding an over sized ukulele and an accordion.	Group of three people stand outside a building holding an over sized ukulele and a french horn.	a	b	c	d	e	contradiction
